title,price,img
Apple iPad (9th Generation): with A13 Bionic chip. 10.2-inch Retina Display. 64GB. Wi-Fi. 12MP front/8MP Back Camera. Touch ID. All-Day Battery Life – Space Gray,$279.00,https://m.media-amazon.com/images/I/61NGnpjoRDL._AC_UL400_.jpg
SAMSUNG 980 PRO SSD 2TB PCIe NVMe Gen 4 Gaming M.2 Internal Solid State Drive Memory Card + 2mo Adobe CC Photography. Maximum Speed. Thermal Control (MZ-V8P2T0B),$99.99,https://m.media-amazon.com/images/I/71KeDAkw+0L._AC_UL400_.jpg
Apple Pencil (2nd Generation): Pixel-Perfect Precision and Industry-Leading Low Latency. Perfect for Note-Taking. Drawing. and Signing documents. Attaches. Charges. and Pairs magnetically.,$89.00,https://m.media-amazon.com/images/I/21SPDoiRuGL._AC_UL400_.jpg
SAMSUNG EVO Select Micro SD-Memory-Card + Adapter. 256GB microSDXC 130MB/s Full HD & 4K UHD. UHS-I. U3. A2. V30. Expanded Storage for Android Smartphones. Tablets. Nintendo-Switch (MB-ME256KA/AM),$17.99,https://m.media-amazon.com/images/I/71tK21fYkDL._AC_UL400_.jpg
HP 67 Black/Tri-color Ink Cartridges (2 Count - Pack of 1) | Works with HP DeskJet 1255. 2700. 4100 Series. HP ENVY 6000. 6400 Series | Eligible for Instant Ink | 3YP29AN,$31.89,https://m.media-amazon.com/images/I/6104RMv3lML._AC_UL400_.jpg
Logitech MK270 Wireless Keyboard And Mouse Combo For Windows. 2.4 GHz Wireless. Compact Mouse. 8 Multimedia And Shortcut Keys. For PC. Laptop - Black,$22.99,https://m.media-amazon.com/images/I/61pUul1oDlL._AC_UL400_.jpg
HP 67XL Black High-yield Ink Cartridge | Works with HP DeskJet 1255. 2700. 4100 Series. HP ENVY 6000. 6400 Series | Eligible for Instant Ink | 3YM57AN,$25.89,https://m.media-amazon.com/images/I/71dncPbANKL._AC_UL400_.jpg
WiFi Extender Signal Booster | 2023 Release Up to 74% Faster | Broader Coverage Than Ever | WiFi Extenders Signal Booster for Home w/Ethernet Port | Internet Booster and WiFi Repeater | Made for USA,$39.99,https://m.media-amazon.com/images/I/51kHOZQpA5L._AC_UL400_.jpg
SAMSUNG 870 EVO SATA III SSD 1TB 2.5” Internal Solid State Drive. Upgrade PC or Laptop Memory and Storage for IT Pros. Creators. Everyday Users. MZ-77E1T0B/AM,$59.99,https://m.media-amazon.com/images/I/911ujeCkGfL._AC_UL400_.jpg
Apple 2020 MacBook Air Laptop M1 Chip. 13" Retina Display. 8GB RAM. 256GB SSD Storage. Backlit Keyboard. FaceTime HD Camera. Touch ID. Works with iPhone/iPad; Space Gray,$899.00,https://m.media-amazon.com/images/I/71jG+e7roXL._AC_UL400_.jpg
HP 910XL Black High-yield Ink Cartridge | Works with HP OfficeJet 8010. 8020 Series. HP OfficeJet Pro 8020. 8030 Series | Eligible for Instant Ink | 3YL65AN,$41.89,https://m.media-amazon.com/images/I/61Ic7v29yBL._AC_UL400_.jpg
HP 63XL Black High-yield Ink Cartridge | Works with HP DeskJet 1112. 2130. 3630 Series; HP ENVY 4510. 4520 Series; HP OfficeJet 3830. 4650. 5200 Series | Eligible for Instant Ink | F6U64AN,Null,https://m.media-amazon.com/images/I/71dknWOvquL._AC_UL400_.jpg
HP 952 Cyan. Magenta. Yellow Ink Cartridges (3-pack) | Works with HP OfficeJet 8702. HP OfficeJet Pro 7720. 7740. 8210. 8710. 8720. 8730. 8740 Series | Eligible for Instant Ink | N9K27AN,Null,https://m.media-amazon.com/images/I/71tZw0rUWTS._AC_UL400_.jpg
Sceptre 24-inch Professional Thin 1080p LED Monitor 99% sRGB 2x HDMI VGA Build-in Speakers. Machine Black (E248W-19203R Series),$119.97,https://m.media-amazon.com/images/I/71rXSVqET9L._AC_UL400_.jpg
TP-Link Deco AX3000 WiFi 6 Mesh System(Deco X55) - Covers up to 6500 Sq.Ft. . Replaces Wireless Router and Extender. 3 Gigabit ports per unit. supports Ethernet Backhaul (3-pack),$229.99,https://m.media-amazon.com/images/I/517H+UHnQ6L._AC_UL400_.jpg
HP 952XL Black High-yield Ink Cartridge | Works with HP OfficeJet 8702. HP OfficeJet Pro 7720. 7740. 8210. 8710. 8720. 8730. 8740 Series | Eligible for Instant Ink | F6U19AN,Null,https://m.media-amazon.com/images/I/61cV9q2PBAL._AC_UL400_.jpg
HP 67 Black Ink Cartridge | Works with HP DeskJet 1255. 2700. 4100 Series. HP ENVY 6000. 6400 Series | Eligible for Instant Ink | 3YM56AN,$16.89,https://m.media-amazon.com/images/I/71b3HlAlA8S._AC_UL400_.jpg
SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s. C10. U3. V30. 4K. 5K. A2. Micro SD Card - SDSQXAV-256G-GN6MA,$22.99,https://m.media-amazon.com/images/I/719ZXZP+5LL._AC_UL400_.jpg
Apple Lightning to USB Cable (1 m),$16.48,https://m.media-amazon.com/images/I/51hhaBx5PCL._AC_UL400_.jpg
HP 64XL Black High-yield Ink Cartridge | Works with HP ENVY Inspire 7950e; ENVY Photo 6200. 7100. 7800; Tango Series | Eligible for Instant Ink | N9J92AN,$45.89,https://m.media-amazon.com/images/I/61XaiQ+8ejL._AC_UL400_.jpg
HP 962 Cyan. Magenta. Yellow Ink Cartridges (3 Count -pack of 1) | Works with HP OfficeJet 9010 Series. HP OfficeJet Pro 9010. 9020 Series | Eligible for Instant Ink | 3YP00AN,$65.89,https://m.media-amazon.com/images/I/71XSbgnGXcS._AC_UL400_.jpg
EMEET 1080P Webcam with Microphone. C960 Web Camera. 2 Mics Streaming Webcam with Privacy Cover. 90°View Computer Camera. Plug&Play USB Webcam for Calls/Conference. Zoom/Skype/YouTube. Laptop/Desktop,$38.99,https://m.media-amazon.com/images/I/61-K2lXmHQL._AC_UL400_.jpg
Logitech H390 Wired Headset for PC/Laptop. Stereo Headphones with Noise Cancelling Microphone. USB. In-Line Controls. Works with Chromebook - Black,$21.88,https://m.media-amazon.com/images/I/61CqYq+xwNL._AC_UL400_.jpg
HP 63 Black Ink Cartridge | Works with HP DeskJet 1112. 2130. 3630 Series; HP ENVY 4510. 4520 Series; HP OfficeJet 3830. 4650. 5200 Series | Eligible for Instant Ink | F6U62AN,Null,https://m.media-amazon.com/images/I/71MHmk6IbBL._AC_UL400_.jpg
