title,price,img,url,dist
Apple Watch Series 8 (GPS),$529,https://i5.walmartimages.ca/images/Thumbnails/533/394/6000205533394.jpg,www.walmart.ca/en/ip/apple-watch-series-8-gps-red/6000205514616,5
Apple Watch SE (GPS. 2nd generation),$329,https://i5.walmartimages.ca/images/Thumbnails/609/909/6000205609909.jpg,www.walmart.ca/en/ip/apple-watch-se-gps-2nd-generation-gold/6000205514847,5
Nature's Recipe Chewy Bites Grain Free Natural Dog Treats. Chicken. Sweet Potato & Apple Recipe,$12.97,https://i5.walmartimages.ca/images/Thumbnails/024/661/6000203024661.jpg,www.walmart.ca/en/ip/natures-recipe-chewy-bites-grain-free-natural-dog-treats-chicken-sweet-potato-apple-recipe-454g/6000199567692,5
Apple Pencil (2nd generation),$169,https://i5.walmartimages.ca/images/Thumbnails/342/352/6000199342352.jpg,www.walmart.ca/en/ip/apple-pencil-2nd-generation-white/6000199316310,5
Apple. Gala,$0.79,https://i5.walmartimages.ca/images/Thumbnails/094/514/6000200094514.jpg,www.walmart.ca/en/ip/apple-gala/6000195494284,5
Apple. Fuji,$0.79,https://i5.walmartimages.ca/images/Thumbnails/094/512/6000200094512.jpg,www.walmart.ca/en/ip/apple-fuji/6000196006422,5
Apple. Royal Gala. Your Fresh Market,$5.97,https://i5.walmartimages.ca/images/Thumbnails/398/991/6000202398991.jpg,www.walmart.ca/en/ip/apple-royal-gala-your-fresh-market/6000197346281,5
Apple. Honeycrisp,$1.19,https://i5.walmartimages.ca/images/Thumbnails/094/498/6000200094498.jpg,www.walmart.ca/en/ip/apple-honeycrisp/6000192860449,5
Apple. Granny Smith,$0.99,https://i5.walmartimages.ca/images/Thumbnails/_41/393/41393.jpg,www.walmart.ca/en/ip/apple-granny-smith/6000201873652,5
Apple. Pink Lady,$0.99,https://i5.walmartimages.ca/images/Thumbnails/279/868/6000197279868.jpg,www.walmart.ca/en/ip/apple-pink-lady/6000197214091,5
Apple. Red Delicious. Your Fresh Market,$5.97,https://i5.walmartimages.ca/images/Thumbnails/466/059/6000202466059.jpg,www.walmart.ca/en/ip/apple-red-delicious-your-fresh-market/6000197343803,5
Apple. Macintosh,$5.97,https://i5.walmartimages.ca/images/Thumbnails/398/992/6000202398992.jpg,www.walmart.ca/en/ip/apple-macintosh/6000194126172,5
Apple. Granny Smith,$6.97,https://i5.walmartimages.ca/images/Thumbnails/094/554/6000200094554.jpg,www.walmart.ca/en/ip/apple-granny-smith/6000194125042,5
Apple. Organic Gala,$5.97,https://i5.walmartimages.ca/images/Thumbnails/003/207/883391003207.jpg,www.walmart.ca/en/ip/apple-organic-gala/6000196625208,5
Bulk Envy,$0.99,https://i5.walmartimages.ca/images/Thumbnails/_36/160/36160.jpg,www.walmart.ca/en/ip/bulk-envy/6000203283990,5
Apple AirPods with charging case,$179,https://i5.walmartimages.ca/images/Thumbnails/965/231/6000199965231.jpg,www.walmart.ca/en/ip/apple-airpods-with-charging-case-white/6000199777657,5
