title,price,img,url
Royal Gala Apples,$1.15,https://assets.shop.loblaws.ca/products/20083526001/b1/en/front/20083526001_front_a01.png,https://www.fortinos.ca/royal-gala-apples/p/20083526001_KG
Honeycrisp Apples,$2.11,https://assets.shop.loblaws.ca/products/20132621001/b1/en/front/20132621001_front_a01.png,https://www.fortinos.ca/honeycrisp-apples/p/20132621001_KG
Granny Smith Apples,$1.32,https://assets.shop.loblaws.ca/products/20253488001/b1/en/front/20253488001_front_a01.png,https://www.fortinos.ca/granny-smith-apples/p/20253488001_KG
Pink Lady Apples,$1.38,https://assets.shop.loblaws.ca/products/20093376001/b1/en/front/20093376001_front_a01.png,https://www.fortinos.ca/pink-lady-apples/p/20093376001_KG
Ambrosia Apples,$1.45,https://assets.shop.loblaws.ca/products/20092614001/b1/en/front/20092614001_front_a01.png,https://www.fortinos.ca/ambrosia-apples/p/20092614001_KG
Red Delicious Apples,$1.38,https://assets.shop.loblaws.ca/products/20073899001/b1/en/front/20073899001_front_a01.png,https://www.fortinos.ca/red-delicious-apples/p/20073899001_KG
Apple Cosmic Crisp,$1.85,https://assets.shop.loblaws.ca/products/21240884001/b1/en/front/21240884001_front_a01.png,https://www.fortinos.ca/apple-cosmic-crisp/p/21240884001_KG
Fuji Apples,$1.58,https://assets.shop.loblaws.ca/products/20310940001/b1/en/front/20310940001_front_a01.png,https://www.fortinos.ca/fuji-apples/p/20310940001_KG
Gala Apples,$1.94,https://assets.shop.loblaws.ca/products/20100756001/b1/en/front/20100756001_front_a01.png,https://www.fortinos.ca/gala-apples/p/20100756001_KG
Envy Apples,$1.54,https://assets.shop.loblaws.ca/products/20177216001/b1/en/front/20177216001_front_a01.png,https://www.fortinos.ca/envy-apples/p/20177216001_KG
Golden Delicious Apples,$1.45,https://assets.shop.loblaws.ca/products/20430790001/b1/en/front/20430790001_front_a01.png,https://www.fortinos.ca/golden-delicious-apples/p/20430790001_KG
Organic Granny Smith Apples,$1.67,https://assets.shop.loblaws.ca/products/20186535001/b1/en/front/20186535001_front_a01.png,https://www.fortinos.ca/organic-granny-smith-apples/p/20186535001_KG
Unsweetened Apple Sauce,$2.99,https://assets.shop.loblaws.ca/products/20309701001/b1/en/front/20309701001_front_a01.png,https://www.fortinos.ca/unsweetened-apple-sauce/p/20309701001_EA
Squeeze. Apple Strawberry,$4.49,https://assets.shop.loblaws.ca/products/20322697001/b1/en/front/20322697001_front_a01.png,https://www.fortinos.ca/squeeze-apple-strawberry/p/20322697001_EA
Squeeze. Apple Peach,$4.49,https://assets.shop.loblaws.ca/products/20415694002/b1/en/front/20415694002_front_a01.png,https://www.fortinos.ca/squeeze-apple-peach/p/20415694002_EA
Unsweetened Apple Blueberry Apple Sauce,$2.99,https://assets.shop.loblaws.ca/products/20301095002/b1/en/front/20301095002_front_a01.png,https://www.fortinos.ca/unsweetened-apple-blueberry-apple-sauce/p/20301095002_EA
