title,price,img,url
Hello Hydration Conditioner,$4.49,https://product-images.metro.ca/images/h25/h23/9531617935390.jpg,https://www.metro.ca/en/online-grocery/aisles/health-beauty/hair-care/shampoos-conditioners/hello-hydration-conditioner/p/190679004772
Hello Hydration Shampoo and Body Wash. Hello Hydration,$4.49,https://product-images.metro.ca/images/h6c/hec/9531647655966.jpg,https://www.metro.ca/en/online-grocery/aisles/health-beauty/hair-care/shampoos-conditioners/hello-hydration-shampoo-and-body-wash/p/190679004758
Assorted Hello Kitty® plastic bandages,$5.99,https://product-images.metro.ca/images/hee/h1f/10268152692766.jpg,https://www.metro.ca/en/online-grocery/aisles/pharmacy/healthcare-products/first-aid/assorted-hello-kitty-plastic-bandages/p/381370056164
Goodbye Plaque Hello Whitening Toothpaste,$7.99,https://product-images.metro.ca/images/h54/hac/9847478222878.jpg,https://www.metro.ca/en/online-grocery/aisles/health-beauty/oral-care/toothpaste/goodbye-plaque-hello-whitening-toothpaste/p/035000986948
Soft Charcoal Toothbrush,$6.99,https://product-images.metro.ca/images/h3f/h14/10734904737822.jpg,https://www.metro.ca/en/online-grocery/aisles/health-beauty/oral-care/toothbrushes/soft-charcoal-toothbrush/p/035000987532
Baby Wipes,$2.49,https://product-images.metro.ca/images/h25/hff/10189855653918.jpg,https://www.metro.ca/en/online-grocery/aisles/baby/needs/wipes/baby-wipes/p/810007188539
Plant Based Baby Oil,$8.49,https://product-images.metro.ca/images/ha7/hc7/10509818331166.jpg,https://www.metro.ca/en/online-grocery/aisles/baby/needs/health-bathing/plant-based-baby-oil/p/810007187990
Lavender Scented Shampoo and Body Wash,$8.49,https://product-images.metro.ca/images/h7d/he4/10498189131806.jpg,https://www.metro.ca/en/online-grocery/aisles/baby/needs/health-bathing/lavender-scented-shampoo-and-body-wash/p/810007188096
Baby Wipes,$9.99,https://product-images.metro.ca/images/hf7/h33/9642367975454.jpg,https://www.metro.ca/en/online-grocery/aisles/baby/needs/wipes/baby-wipes/p/810007188522
Apricot and Vanilla Scented Shampoo and Body Wash,$8.49,https://product-images.metro.ca/images/h15/hbd/9865578184734.jpg,https://www.metro.ca/en/online-grocery/aisles/baby/needs/health-bathing/apricot-and-vanilla-scented-shampoo-and-body-wash/p/810007188102
Watermelon Scented Shampoo and Body Wash,$8.49,https://product-images.metro.ca/images/he4/hca/9823852888094.jpg,https://www.metro.ca/en/online-grocery/aisles/baby/needs/health-bathing/watermelon-scented-shampoo-and-body-wash/p/810007188027
Calming Soft Lavender Scented Premium Bubble Bath,$8.49,https://product-images.metro.ca/images/hfa/hcf/10498184577054.jpg,https://www.metro.ca/en/online-grocery/aisles/baby/needs/health-bathing/calming-soft-lavender-scented-premium-bubble-bath/p/810007188119
Size 3 Baby Diapers,$24.99,https://product-images.metro.ca/images/hcc/h98/11590842613790.jpg,https://www.metro.ca/en/online-grocery/aisles/baby/needs/diapers-training-pants/size-3-baby-diapers/p/810007188300
Size 1 Baby Diapers,$24.99,https://product-images.metro.ca/images/h4b/hd5/11251235880990.jpg,https://www.metro.ca/en/online-grocery/aisles/baby/needs/diapers-training-pants/size-1-baby-diapers/p/810007188287
Size 2 Baby Diapers,$24.99,https://product-images.metro.ca/images/h61/h01/11251228803102.jpg,https://www.metro.ca/en/online-grocery/aisles/baby/needs/diapers-training-pants/size-2-baby-diapers/p/810007188294
Size 4 Baby Diapers,$24.99,https://product-images.metro.ca/images/h8f/he3/11251228672030.jpg,https://www.metro.ca/en/online-grocery/aisles/baby/needs/diapers-training-pants/size-4-baby-diapers/p/810007188317
Watermelon Scented Conditioner,$8.49,https://product-images.metro.ca/images/hbd/h5f/9823908790302.jpg,https://www.metro.ca/en/online-grocery/aisles/baby/needs/health-bathing/watermelon-scented-conditioner/p/810007188058
Size 5 Baby Diapers,$24.99,https://product-images.metro.ca/images/h66/ha2/11251220021278.jpg,https://www.metro.ca/en/online-grocery/aisles/baby/needs/diapers-training-pants/size-5-baby-diapers/p/810007188324
Fluoride Free Activated Charcoal Toothpaste,$7.99,https://product-images.metro.ca/images/h28/h1c/9859684565022.jpg,https://www.metro.ca/en/online-grocery/aisles/health-beauty/oral-care/toothpaste/fluoride-free-activated-charcoal-toothpaste/p/035000987112
Omega-3 and DHA No Brainer Supplements. Hello Wellness,$36.99,https://product-images.metro.ca/images/h73/h62/10337588641822.jpg,https://www.metro.ca/en/online-grocery/aisles/nature-s-signature/supplements-minerals/omega-3-and-dha-no-brainer-supplements/p/838766110417
