title,price,img
Bananas Bunch,$1.50,https://assets.shop.loblaws.ca/products/20175355001/b1/en/front/20175355001_front_a01.png
PC Organics Organic Bananas Bunch,$2.40,https://assets.shop.loblaws.ca/products/20139509001/b1/en/front/20139509001_front_a01.png
Farmer's Market Banana Chocolate Chunk Muffins,$6.00,https://assets.shop.loblaws.ca/products/21283357/b1/en/front/21283357_front_a01.png
President's Choice Banana - Sliced (600 g),$4.99,https://assets.shop.loblaws.ca/products/21289947/b1/en/front/21289947_front_a01.png
IOGO Drinkable Yogurt Banana 1.5%,$4.29,https://assets.shop.loblaws.ca/products/20609687003/b1/en/front/20609687003_front_a01.png
Plantains Single,$0.72,https://assets.shop.loblaws.ca/products/20111926001/b1/en/front/20111926001_front_a01.png
Dare Bear Paws Banana Bread Cookies,$2.99,https://assets.shop.loblaws.ca/products/21080779/b1/en/front/21080779_front_a01.png
Farmer's Market Loaf Cake Banana (390 g),$4.50,https://assets.shop.loblaws.ca/products/20565382/b1/en/front/20565382_front_a01.png
Oikos Greek Yogurt Banana Flavour Blended 2%,$3.69,https://assets.shop.loblaws.ca/products/21006595/b1/en/front/21006595_front_a01.png
No Name Banana Flavoured Pudding Cups 4 Pack,$1.39,https://assets.shop.loblaws.ca/products/20297693006/b1/en/front/20297693006_front_a01.png
General Mills Strawberry Banana Breakfast Cereal Gluten Free Whole Grains,$4.99,https://assets.shop.loblaws.ca/products/21448369/b1/en/front/21448369_front_a01.png
IOGO 1% Lactose Free Strawberry-Banana Drinkable Yogurt,$4.29,https://assets.shop.loblaws.ca/products/21219007/b1/en/front/21219007_front_a01.png
