title,price,img,url
Bananas. Bunch,$1.50,https://assets.shop.loblaws.ca/products/20175355001/b1/en/front/20175355001_front_a01.png,https://www.realcanadiansuperstore.ca/bananas-bunch/p/20175355001_KG
Organic Bananas. Bunch,$2.40,https://assets.shop.loblaws.ca/products/20139509001/b1/en/front/20139509001_front_a01.png,https://www.realcanadiansuperstore.ca/organic-bananas-bunch/p/20139509001_KG
Banana Chocolate Chunk Muffins,$6.00,https://assets.shop.loblaws.ca/products/21283357/b1/en/front/21283357_front_a01.png,https://www.realcanadiansuperstore.ca/banana-chocolate-chunk-muffins/p/21283357_EA
Banana - Sliced,$4.99,https://assets.shop.loblaws.ca/products/21289947/b1/en/front/21289947_front_a01.png,https://www.realcanadiansuperstore.ca/banana-sliced/p/21289947_EA
Drinkable Yogurt. Banana 1.5%,$4.29,https://assets.shop.loblaws.ca/products/20609687003/b1/en/front/20609687003_front_a01.png,https://www.realcanadiansuperstore.ca/drinkable-yogurt-banana-1-5/p/20609687003_EA
Plantains. Single,$0.94,https://assets.shop.loblaws.ca/products/20111926001/b1/en/front/20111926001_front_a01.png,https://www.realcanadiansuperstore.ca/plantains-single/p/20111926001_KG
Bear Paws Banana Bread Cookies,$3.99,https://assets.shop.loblaws.ca/products/21080779/b1/en/front/21080779_front_a01.png,https://www.realcanadiansuperstore.ca/bear-paws-banana-bread-cookies/p/21080779_EA
Loaf Cake. Banana,$4.50,https://assets.shop.loblaws.ca/products/20565382/b1/en/front/20565382_front_a01.png,https://www.realcanadiansuperstore.ca/loaf-cake-banana/p/20565382_EA
Greek Yogurt. Banana Flavour. Blended. 2% Mf. 4X100G,$3.99,https://assets.shop.loblaws.ca/products/21006595/b1/en/front/21006595_front_a01.png,https://www.realcanadiansuperstore.ca/greek-yogurt-banana-flavour-blended-2-mf-4x100g/p/21006595_EA
Banana Flavoured Pudding Cups 4 Pack,$1.49,https://assets.shop.loblaws.ca/products/20297693006/b1/en/front/20297693006_front_a01.png,https://www.realcanadiansuperstore.ca/banana-flavoured-pudding-cups-4-pack/p/20297693006_EA
Strawberry Banana Breakfast Cereal. Gluten Free. Whole Grains,$4.99,https://assets.shop.loblaws.ca/products/21448369/b1/en/front/21448369_front_a01.png,https://www.realcanadiansuperstore.ca/strawberry-banana-breakfast-cereal-gluten-free-who/p/21448369_EA
1% Lactose Free Strawberry-Banana Drinkable Yogurt,$4.29,https://assets.shop.loblaws.ca/products/21219007/b1/en/front/21219007_front_a01.png,https://www.realcanadiansuperstore.ca/1-lactose-free-strawberry-banana-drinkable-yogurt/p/21219007_EA
Real Banana 1/2 Dipped Chocolate,$7.79,https://assets.shop.loblaws.ca/products/21358665/b1/en/front/21358665_front_a01.png,https://www.realcanadiansuperstore.ca/real-banana-1-2-dipped-chocolate/p/21358665_EA
Pickled Hot Banana Pepper Rings,$4.79,https://assets.shop.loblaws.ca/products/20297058/b1/en/front/20297058_front_a01.png,https://www.realcanadiansuperstore.ca/pickled-hot-banana-pepper-rings/p/20297058_EA
Banana Berry Mini Cereal Bars,$2.49,https://assets.shop.loblaws.ca/products/20431441001/b1/en/front/20431441001_front_a01.png,https://www.realcanadiansuperstore.ca/banana-berry-mini-cereal-bars/p/20431441001_EA
Banana. Sweet Potato & Blueberry Strained Baby Food,$1.39,https://assets.shop.loblaws.ca/products/20666167004/b1/en/front/20666167004_front_a01.png,https://www.realcanadiansuperstore.ca/banana-sweet-potato-blueberry-strained-baby-food/p/20666167004_EA
